x,y,z
901.372,762.387,2
900.923,764.831,2
900.923,764.831,2
898.645,765.136,2
898.309,767.655,2
896.166,768.108,2
896.166,768.108,2
896.900,770.787,2
895.654,770.690,2
893.852,772.685,2
893.852,772.685,2
892.294,771.104,2
890.128,772.254,2
888.401,770.990,2
888.401,770.990,2
886.286,771.974,2
884.218,770.804,2
881.827,772.126,2
881.827,772.126,2
880.494,771.076,2
877.849,771.899,2
875.863,770.486,2
875.863,770.486,2
872.955,771.395,2
871.798,769.420,2
869.638,770.289,2
869.638,770.289,2
868.714,768.450,2
865.942,768.784,2
865.278,767.098,2
865.278,767.098,2
862.219,766.767,2
861.942,765.724,2
859.376,766.039,2
859.376,766.039,2
858.426,764.419,2
856.085,765.595,2
854.563,763.850,2
854.563,763.850,2
852.335,765.376,2
851.416,762.768,2
848.760,763.548,2
848.760,763.548,2
847.036,761.830,2
845.014,762.901,2
843.942,761.367,2
843.942,761.367,2
841.433,762.336,2
840.551,760.824,2
837.656,761.543,2
837.656,761.543,2
835.348,759.402,2
833.217,760.398,2
833.963,758.242,2
833.963,758.242,2
831.743,758.042,2
831.046,756.735,2
831.046,756.735,2
828.745,757.685,2
826.797,756.271,2
824.840,757.722,2
823.220,756.431,2
823.220,756.431,2
821.670,758.866,2
819.655,758.393,2
817.311,759.773,2
817.311,759.773,2
815.660,758.309,2
813.330,759.422,2
811.733,757.824,2
811.733,757.824,2
808.975,758.536,2
807.059,756.544,2
804.254,757.752,2
804.254,757.752,2
802.256,756.404,2
799.925,757.930,2
797.601,757.287,2
797.601,757.287,2
796.128,759.320,2
794.256,757.941,2
792.839,759.618,2
792.839,759.618,2
790.368,758.664,2
789.311,760.653,2
786.939,760.103,2
786.939,760.103,2
786.016,762.375,2
784.089,762.694,2
783.061,765.047,2
783.061,765.047,2
780.723,765.168,2
779.160,767.380,2
776.741,766.986,2
776.741,766.986,2
775.168,768.889,2
772.872,768.658,2
771.369,770.964,2
771.369,770.964,2
768.668,770.655,2
767.428,773.013,2
765.855,771.720,2
765.855,771.720,2
764.776,773.002,2
762.253,772.972,2
761.612,775.756,2
761.612,775.756,2
759.310,776.316,2
759.789,779.488,2
758.230,780.447,2
758.230,780.447,2
759.104,783.452,2
757.763,783.117,2
757.371,785.307,2
757.371,785.307,2
755.432,785.369,2
754.772,787.437,2
752.543,787.417,2
752.543,787.417,2
751.551,789.855,2
749.443,789.390,2
747.126,791.164,2
747.126,791.164,2
745.076,789.063,2
743.597,790.333,2
742.176,789.063,2
742.176,789.063,2
739.623,789.684,2
738.843,788.753,2
738.843,788.753,2
740.344,790.158,2
741.474,787.611,2
741.474,787.611,2
741.163,789.000,2
741.184,787.919,2
741.024,788.787,2
741.656,787.362,2
741.656,787.362,2
741.152,788.511,2
741.915,787.020,2
741.739,787.943,2
741.739,787.943,2
